[2022-07-04 15:59:37,999] Register - Step 01: Click the Account link
[2022-07-13 16:26:01,080] Register - Step 02: Click the Register link
[2022-07-13 16:26:06,635] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-13 16:26:06,736] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-13 16:26:06,836] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test91386@live.com'
[2022-07-13 16:26:06,884] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:26:06,954] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-13 16:26:07,087] Register - Step 08: Click the Register button
[2022-07-13 16:26:09,575] Register - Step 09: Verify the register success message is displayed
[2022-07-13 16:26:09,767] Login - Step 01: Click 'My Account' link
[2022-07-13 16:26:12,338] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test91386@live.com'
[2022-07-14 15:12:47,535] Register - Step 01: Click the Account link
[2022-07-14 15:12:47,847] Register - Step 02: Click the Register link
[2022-07-14 15:12:55,782] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-14 15:12:55,861] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-14 15:12:55,922] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test131985@live.com'
[2022-07-14 15:12:55,975] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-14 15:12:56,034] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-14 15:12:56,122] Register - Step 08: Click the Register button
[2022-07-14 15:12:57,780] Register - Step 09: Verify the register success message is displayed
[2022-07-14 15:12:57,949] Login - Step 01: Click 'My Account' link
[2022-07-14 15:12:58,771] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test131985@live.com'
[2022-07-14 15:17:12,623] Register - Step 01: Click the Account link
[2022-07-14 15:17:12,926] Register - Step 02: Click the Register link
[2022-07-14 15:17:16,869] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-14 15:17:16,939] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-14 15:17:17,000] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test75126@live.com'
[2022-07-14 15:17:17,053] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-14 15:17:17,108] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-14 15:17:17,210] Register - Step 08: Click the Register button
[2022-07-14 15:17:19,159] Register - Step 09: Verify the register success message is displayed
[2022-07-14 15:17:19,325] Login - Step 01: Click 'My Account' link
[2022-07-14 15:17:20,188] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test75126@live.com'
[2022-07-14 15:51:33,691] Register - Step 01: Click the Account link
[2022-07-14 15:51:34,009] Register - Step 02: Click the Register link
[2022-07-14 15:51:37,555] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-14 15:51:37,632] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-14 15:51:37,687] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test420389@live.com'
[2022-07-14 15:51:37,739] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-14 15:51:37,788] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-14 15:51:37,841] Register - Step 08: Click the Register button
[2022-07-14 15:51:39,495] Register - Step 09: Verify the register success message is displayed
[2022-07-14 15:51:39,548] Login - Step 01: Click 'My Account' link
[2022-07-14 15:51:40,430] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test420389@live.com'
[2022-07-14 16:39:27,823] Register - Step 01: Click the Account link
[2022-07-14 16:39:28,142] Register - Step 02: Click the Register link
[2022-07-14 16:39:32,463] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-14 16:39:32,545] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-14 16:39:32,605] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test98768@live.com'
[2022-07-14 16:39:32,658] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-14 16:39:32,713] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-14 16:39:32,776] Register - Step 08: Click the Register button
[2022-07-14 16:39:34,821] Register - Step 09: Verify the register success message is displayed
[2022-07-14 16:43:54,955] Login - Step 01: Click 'My Account' link
